algorithm,name,description,qgis_type
saga:profilefrompointstable,RESULT,Result,vectorDestination
saga:profilesfromlines,DEM,DEM,raster
saga:profilesfromlines,VALUES,Values,multilayer
saga:profilesfromlines,LINES,Lines,source
saga:profilesfromlines,NAME,Name,field
saga:profilesfromlines,PROFILE,Profiles,vectorDestination
saga:profilesfromlines,PROFILES,Profiles,vectorDestination
saga:proximityraster,FEATURES,Features,raster
saga:proximityraster,DISTANCE,Distance,rasterDestination
saga:proximityraster,DIRECTION,Direction,rasterDestination
saga:proximityraster,ALLOCATION,Allocation,rasterDestination
saga:quadtreestructuretopolygons,SHAPES,Shapes,source
saga:quadtreestructuretopolygons,ATTRIBUTE,Attribute,field
saga:quadtreestructuretopolygons,POLYGONS,Polygons,vectorDestination
saga:quadtreestructuretopolygons,LINES,Lines,vectorDestination
saga:quadtreestructuretopolygons,POINTS,Duplicated Points,vectorDestination
saga:radiusofvarianceraster,INPUT,Grid,raster
saga:radiusofvarianceraster,VARIANCE,Standard Deviation,number
saga:radiusofvarianceraster,OUTPUT,Type of Output,enum
saga:radiusofvarianceraster,RESULT,Variance Radius,rasterDestination
saga:randomfield,METHOD,Method,enum
saga:randomfield,RANGE_MIN,Range Min,number
saga:randomfield,RANGE_MAX,Range Max,number
saga:randomfield,MEAN,Arithmetic Mean,number
saga:randomfield,STDDEV,Standard Deviation,number
saga:randomfield,USER_SIZE,Cellsize,number
saga:randomfield,USER_FITS,Method,enum
saga:randomfield,OUT_GRID,Random Field,rasterDestination
saga:randomforestclassificationopencv,FEATURES,Features,multilayer
saga:randomforestclassificationopencv,NORMALIZE,Normalize,boolean
saga:randomforestclassificationopencv,TRAIN_AREAS,Training Areas,source
saga:randomforestclassificationopencv,TRAIN_CLASS,Class Identifier,source
saga:randomforestclassificationopencv,CLASSES,Classification,rasterDestination
saga:randomforestclassificationopencv,MAX_DEPTH,Maximum Tree Depth,number
saga:randomforestclassificationopencv,MIN_SAMPLES,Minimum Sample Count,number
saga:randomforestclassificationopencv,MAX_CATEGRS,Maximum Categories,number
saga:randomforestclassificationopencv,1SE_RULE,Use 1SE Rule,boolean
saga:randomforestclassificationopencv,TRUNC_PRUNED,Truncate Pruned Trees,boolean
saga:randomforestclassificationopencv,REG_ACCURACY,Regression Accuracy,number
saga:randomforestclassificationopencv,ACTIVE_VARS,Active Variable Count,number
saga:randomforestpresencepredictionvigra,FEATURES,Features,multilayer
saga:randomforestpresencepredictionvigra,PREDICTION,Presence Prediction,rasterDestination
saga:randomforestpresencepredictionvigra,PROBABILITY,Presence Probability,rasterDestination
saga:randomforestpresencepredictionvigra,PRESENCE,Presence Data,source
saga:randomforestpresencepredictionvigra,DO_MRMR,Minimum Redundancy Feature Selection,boolean
saga:randomforestpresencepredictionvigra,mRMR_NFEATURES,Number of Features,number
saga:randomforestpresencepredictionvigra,mRMR_DISCRETIZE,Discretization,boolean
saga:randomforestpresencepredictionvigra,mRMR_THRESHOLD,Discretization Threshold,number
saga:randomforestpresencepredictionvigra,mRMR_METHOD,Selection Method,enum
saga:randomforestpresencepredictionvigra,RF_IMPORT,Import from File,file
saga:randomforestpresencepredictionvigra,RF_EXPORT,Export to File,file
saga:randomforestpresencepredictionvigra,RF_TREE_COUNT,Tree Count,number
saga:randomforestpresencepredictionvigra,RF_TREE_SAMPLES,Samples per Tree,number
saga:randomforestpresencepredictionvigra,RF_REPLACE,Sample with Replacement,boolean
saga:randomforestpresencepredictionvigra,RF_SPLIT_MIN_SIZE,Minimum Node Split Size,number
saga:randomforestpresencepredictionvigra,RF_NODE_FEATURES,Features per Node,enum
saga:randomforestpresencepredictionvigra,RF_STRATIFICATION,Stratification,enum
saga:randomterraingeneration,ITERATIONS,Iterations,number
saga:randomterraingeneration,TARGET_TYPE,Target Dimensions,enum
saga:randomterraingeneration,USER_CELL_SIZE,Grid Size,number
saga:randomterraingeneration,USER_COLS,Cols,number
saga:randomterraingeneration,USER_ROWS,Rows,number
saga:randomterraingeneration,TARGET_GRID,Grid,rasterDestination
saga:rankfilter,INPUT,Grid,raster
saga:rankfilter,MODE,Search Mode,enum
saga:rankfilter,RADIUS,Radius,number
saga:rankfilter,RESULT,Filtered Grid,rasterDestination
saga:rasterbuffer,FEATURES,Features Grid,raster
saga:rasterbuffer,DISTANCE,Distance,number
saga:rasterbuffer,TYPE,Buffer Distance,enum
saga:rasterbuffer,BUFFER,Buffer Grid,rasterDestination
saga:rastercalculator,GRIDS,Main input layer,raster
saga:rastercalculator,XGRIDS,Additional layers,multilayer
saga:rastercalculator,FORMULA,Formula,string
saga:rastercalculator,RESAMPLING,Resampling Method,enum
saga:rastercalculator,USE_NODATA,Use NoData,boolean
saga:rastercalculator,TYPE,Output Data Type,enum
saga:rastercalculator,RESULT,Calculated,rasterDestination
saga:rastercellindex,GRID,Input Grid,raster
saga:rastercellindex,ORDER,Index,enum
saga:rastercellindex,INDEX,Sorted Grid,rasterDestination
saga:rasterdifference,A,A,raster
saga:rasterdifference,B,B,raster
saga:rasterdivision,A,Dividend,raster
saga:rasterdivision,B,Divisor,raster
saga:rasterdivision,C,Quotient,rasterDestination
saga:rasterize,INPUT,Shapes,source
saga:rasterize,FIELD,Attribute,field
saga:rasterize,OUTPUT,Output Values,enum
saga:rasterize,MULTIPLE,Method for Multiple Values,enum
saga:rasterize,LINE_TYPE,Method for Lines,enum
saga:rasterize,POLY_TYPE,Method for Lines,enum
saga:rasterize,GRID_TYPE,Preferred Target Grid Type,enum
saga:rasterize,TARGET_USER_SIZE,Cellsize,number
saga:rasterize,TARGET_USER_FITS,Fit,enum
saga:rasterize,GRID,Rasterized,rasterDestination
saga:rastermasking,GRID,Grid,raster
saga:rastermasking,MASK,Mask,raster
saga:rastermasking,MASKED,Masked Grid,rasterDestination
saga:rasternormalisation,INPUT,Grid,raster
saga:rasternormalisation,OUTPUT,Normalised Grid,rasterDestination
saga:rasterorientation,INPUT,Grid,raster
saga:rasterorientation,METHOD,Method,enum
saga:rasterorientation,RESULT,Changed Grid,rasterDestination
saga:rasterproduct,GRIDS,Grids,multilayer
saga:rasterproduct,RESULT,Product,rasterDestination
saga:rasterproximitybuffer,SOURCE,Source Grid,raster
saga:rasterproximitybuffer,DIST,Buffer distance,number
saga:rasterproximitybuffer,IVAL,Equidistance,number
saga:rasterproximitybuffer,DISTANCE,Distance Grid,rasterDestination
saga:rasterproximitybuffer,ALLOC,Allocation Grid,rasterDestination
saga:rasterproximitybuffer,BUFFER,Buffer Grid,rasterDestination
saga:rasterskeletonization,INPUT,Grid,raster
saga:rasterskeletonization,METHOD,Method,enum
saga:rasterskeletonization,INIT_METHOD,Initialisation,enum
saga:rasterskeletonization,CONVERGENCE,Convergence,number
saga:rasterskeletonization,RESULT,Skeleton,rasterDestination
saga:rasterskeletonization,VECTOR,Skeleton,vectorDestination
saga:rasterssum,GRIDS,Grids,multilayer
saga:rasterssum,RESULT,Sum,rasterDestination
saga:rasterstandardisation,INPUT,Grid,raster
saga:rasterstandardisation,STRETCH,Stretch Factor,number
saga:rasterstandardisation,OUTPUT,Standardised Grid,rasterDestination
saga:rasterstatisticsforpolygons,GRIDS,Grids,multilayer
saga:rasterstatisticsforpolygons,POLYGONS,Polygons,source
saga:rasterstatisticsforpolygons,METHOD,Method,enum
saga:rasterstatisticsforpolygons,NAMING,Grid Naming,enum
saga:rasterstatisticsforpolygons,COUNT,Number of Cells,boolean
saga:rasterstatisticsforpolygons,MIN,Minimum,boolean
saga:rasterstatisticsforpolygons,MAX,Maximum,boolean
saga:rasterstatisticsforpolygons,RANGE,Range,boolean
saga:rasterstatisticsforpolygons,SUM,Sum,boolean
saga:rasterstatisticsforpolygons,MEAN,Mean,boolean
saga:rasterstatisticsforpolygons,VAR,Variance,boolean
saga:rasterstatisticsforpolygons,STDDEV,Standard Deviation,boolean
saga:rasterstatisticsforpolygons,QUANTILE,Quantiles,number
saga:rasterstatisticsforpolygons,RESULT,Statistics,vectorDestination
saga:rastervaluestopoints,GRIDS,Grids,multilayer
saga:rastervaluestopoints,POLYGONS,Polygons,source
saga:rastervaluestopoints,NODATA,Exclude NoData Cells,boolean
saga:rastervaluestopoints,TYPE,Type,enum
saga:rastervaluestopoints,SHAPES,Shapes,vectorDestination
saga:rastervaluestopointsrandomly,GRID,Grid,raster
saga:rastervaluestopointsrandomly,FREQ,Frequency,number
saga:rastervaluestopointsrandomly,POINTS,Points,vectorDestination
saga:rastervolume,GRID,Grid,raster
saga:rastervolume,METHOD,Method,enum
saga:rastervolume,LEVEL,Base Level,number
saga:realsurfacearea,DEM,Elevation,raster
saga:realsurfacearea,AREA,Surface Area,rasterDestination
saga:reclassifyvalues,INPUT,Grid,raster
saga:reclassifyvalues,METHOD,Method,enum
saga:reclassifyvalues,RETAB,Lookup Table,matrix
saga:reclassifyvalues,NODATA,new value for no data values,number
saga:reclassifyvalues,OTHERS,new value for other values,number
saga:reclassifyvalues,RESULT,Reclassified Grid,rasterDestination
saga:reclassifyvaluesrange,INPUT,Grid,raster
saga:reclassifyvaluesrange,NODATAOPT,replace no data values,boolean
saga:reclassifyvaluesrange,NODATA,new value for no data values,number
saga:reclassifyvaluesrange,OTHEROPT,replace other values,boolean
saga:reclassifyvaluesrange,OTHERS,new value for other values,number
saga:reclassifyvaluesrange,RESULT,Reclassified Grid,rasterDestination
saga:reclassifyvaluessimple,GRID_IN,Grid,raster
saga:reclassifyvaluessimple,METHOD,Replace Condition,enum
saga:reclassifyvaluessimple,LOOKUP,Lookup Table,matrix
saga:reclassifyvaluessimple,GRID_OUT,Changed Grid,rasterDestination
saga:reclassifyvaluessingle,INPUT,Grid,raster
saga:reclassifyvaluessingle,NODATAOPT,replace no data values,boolean
saga:reclassifyvaluessingle,NODATA,new value for no data values,number
saga:reclassifyvaluessingle,OTHEROPT,replace other values,boolean
saga:reclassifyvaluessingle,OTHERS,new value for other values,number
saga:reclassifyvaluessingle,RESULT,Reclassified Grid,rasterDestination
saga:reclassifyvaluestable,INPUT,Grid,raster
saga:reclassifyvaluestable,RETAB,Lookup Table,matrix
saga:reclassifyvaluestable,NODATAOPT,replace no data values,boolean
saga:reclassifyvaluestable,NODATA,new value for no data values,number
saga:reclassifyvaluestable,OTHEROPT,replace other values,boolean
saga:reclassifyvaluestable,OTHERS,new value for other values,number
saga:reclassifyvaluestable,RESULT,Reclassified Grid,rasterDestination
saga:regressionanalysis,GRID,Grid,raster
saga:regressionanalysis,SHAPES,Shapes,source
saga:regressionanalysis,ATTRIBUTE,Attribute,field
saga:regressionanalysis,INTERPOL,Grid Interpolation,enum
saga:regressionanalysis,METHOD,Regression Function,enum
saga:regressionanalysis,REGRESSION,Regression,rasterDestination
saga:regressionanalysis,RESIDUAL,Residuals,vectorDestination
saga:regressionanalysispointsandpredictorgrid,PREDICTOR,Predictor,raster
saga:regressionanalysispointsandpredictorgrid,POINTS,Points,source
saga:regressionanalysispointsandpredictorgrid,ATTRIBUTE,Dependent Variable,source
saga:regressionanalysispointsandpredictorgrid,REGRESSION,Regression,rasterDestination
saga:regressionanalysispointsandpredictorgrid,RESIDUAL,Residuals,vectorDestination
saga:regressionanalysispointsandpredictorgrid,RESAMPLING,Resampling,enum
saga:regressionanalysispointsandpredictorgrid,METHOD,Regression Function,enum
saga:regressionkriging,POINTS,Points,source
saga:regressionkriging,FIELD,Attribute,field
saga:regressionkriging,PREDICTORS,Predictors,multilayer
saga:regressionkriging,REGRESSION,Regression,rasterDestination
saga:regressionkriging,PREDICTION,Prediction,rasterDestination
saga:regressionkriging,RESIDUALS,Residuals,rasterDestination
saga:regressionkriging,VARIANCE,Quality Measure,rasterDestination
saga:regressionkriging,TQUALITY,Type of Quality Measure,enum
saga:regressionkriging,LOG,Logarithmic Transformation,boolean
saga:regressionkriging,BLOCK,Block Kriging,boolean
saga:regressionkriging,DBLOCK,Block Size,number
saga:regressionkriging,VAR_MAXDIST,Maximum Distance,number
saga:regressionkriging,VAR_NCLASSES,Lag Distance Classes,number
saga:regressionkriging,VAR_NSKIP,Skip,number
saga:regressionkriging,VAR_MODEL,Variogram Model,string
saga:regressionkriging,COORD_X,Include X Coordinate,boolean
saga:regressionkriging,COORD_Y,Include Y Coordinate,boolean
saga:regressionkriging,INTERCEPT,Intercept,boolean
saga:regressionkriging,METHOD,Method,enum
saga:regressionkriging,P_VALUE,Significance Level,number
saga:regressionkriging,RESAMPLING,Resampling,enum
saga:regressionkriging,SEARCH_RANGE,Search Range,enum
saga:regressionkriging,SEARCH_RADIUS,Maximum Search Distance,number
saga:regressionkriging,SEARCH_POINTS_ALL,Number of Points,enum
saga:regressionkriging,SEARCH_POINTS_MIN,Minimum,number
saga:regressionkriging,SEARCH_POINTS_MAX,Maximum,number
saga:regressionkriging,SEARCH_DIRECTION,Direction,enum
saga:relativeheightsandslopepositions,DEM,Elevation,raster
saga:relativeheightsandslopepositions,W,w,number
saga:relativeheightsandslopepositions,T,t,number
saga:relativeheightsandslopepositions,E,e,number
saga:relativeheightsandslopepositions,HO,Slope Height,rasterDestination
saga:relativeheightsandslopepositions,HU,Valley Depth,rasterDestination
saga:relativeheightsandslopepositions,NH,Normalized Height,rasterDestination
saga:relativeheightsandslopepositions,SH,Standardized Height,rasterDestination
saga:relativeheightsandslopepositions,MS,Mid-Slope Position,rasterDestination
saga:removeduplicatepoints,POINTS,Points,source
saga:removeduplicatepoints,FIELD,Attribute,field
saga:removeduplicatepoints,METHOD,Point to Keep,enum
saga:removeduplicatepoints,NUMERIC,Numeric Attribute Values,enum
saga:removeduplicatepoints,RESULT,Result,vectorDestination
saga:removesmallpixelclumpstonodata,GRID,Input Grid,raster
saga:removesmallpixelclumpstonodata,THRESHOLD,Min. Size,number
saga:removesmallpixelclumpstonodata,OUTPUT,Filtered Grid,rasterDestination
saga:representativeness,INPUT,Grid,raster
saga:representativeness,EXPONENT,Exponent,number
saga:representativeness,RESULT,Representativeness,rasterDestination
saga:resampling,INPUT,Grid,raster
saga:resampling,KEEP_TYPE,Preserve Data Type,boolean
saga:resampling,SCALE_UP,Upscaling Method,enum
saga:resampling,SCALE_DOWN,Downscaling Method,enum
saga:resampling,TARGET_USER_SIZE,Cellsize,number
saga:resampling,TARGET_USER_FITS,Fit,enum
saga:resampling,TARGET_TEMPLATE,Target system,raster
saga:resampling,OUTPUT,Grid,rasterDestination
saga:resamplingfilter,GRID,Grid,raster
saga:resamplingfilter,LOPASS,Low Pass Filter,rasterDestination
saga:resamplingfilter,HIPASS,High Pass Filter,rasterDestination
saga:resamplingfilter,SCALE,Scale Factor,number
saga:residualanalysis,GRID,Grid,raster
saga:residualanalysis,MODE,Search Mode,enum
saga:residualanalysis,BCENTER,Include Center Cell,boolean
saga:residualanalysis,DISTANCE_WEIGHTING_DW_WEIGHTING,Distance Weighting,enum
saga:residualanalysis,DISTANCE_WEIGHTING_DW_IDW_POWER,Inverse Distance Weighting Power,number
saga:residualanalysis,DISTANCE_WEIGHTING_DW_IDW_OFFSET,Inverse Distance Offset,boolean
saga:residualanalysis,DISTANCE_WEIGHTING_DW_BANDWIDTH,Gaussian and Exponential Weighting Bandwidth,number
saga:residualanalysis,MEAN,Mean Value,rasterDestination
saga:residualanalysis,DIFF,Difference from Mean Value,rasterDestination
saga:residualanalysis,STDDEV,Standard Deviation,rasterDestination
saga:residualanalysis,RANGE,Value Range,rasterDestination
saga:residualanalysis,MIN,Minimum Value,rasterDestination
saga:residualanalysis,MAX,Maximum Value,rasterDestination
saga:residualanalysis,DEVMEAN,Deviation from Mean Value,rasterDestination
saga:residualanalysis,PERCENT,Percentile,rasterDestination
saga:rgbcomposite,R_GRID,R,raster
saga:rgbcomposite,G_GRID,G,raster
saga:rgbcomposite,B_GRID,B,raster
saga:rgbcomposite,R_METHOD,Method for R value,enum
saga:rgbcomposite,G_METHOD,Method for G value,enum
saga:rgbcomposite,B_METHOD,Method for B value,enum
saga:rgbcomposite,R_RANGE_MIN,Rescale Range for RED min,number
saga:rgbcomposite,R_RANGE_MAX,Rescale Range for RED max,number
saga:rgbcomposite,R_PERCTL_MIN,Percentiles Range for RED max,number
saga:rgbcomposite,R_PERCTL_MAX,Percentiles Range for RED max,number
saga:rgbcomposite,R_STDDEV,Standard deviation for RED,number
saga:rgbcomposite,G_RANGE_MIN,Rescale Range for GREEN min,number
saga:rgbcomposite,G_RANGE_MAX,Rescale Range for GREEN max,number
saga:rgbcomposite,G_PERCTL_MIN,Percentiles Range for GREEN max,number
saga:rgbcomposite,G_PERCTL_MAX,Percentiles Range for GREEN max,number
saga:rgbcomposite,G_STDDEV,Standard deviation for GREEN,number
saga:rgbcomposite,B_RANGE_MIN,Rescale Range for BLUE min,number
saga:rgbcomposite,B_RANGE_MAX,Rescale Range for BLUE max,number
saga:rgbcomposite,B_PERCTL_MIN,Percentiles Range for BLUE max,number
saga:rgbcomposite,B_PERCTL_MAX,Percentiles Range for BLUE max,number
saga:rgbcomposite,B_STDDEV,Standard deviation for BLUE,number
saga:rgbcomposite,RGB,Output RGB,rasterDestination
saga:riverbasin,INPUT,DTM,raster
saga:riverbasin,INPUT2,HGGrid,raster
saga:riverbasin,INPUT3,statisches Entnahmeraster,raster
saga:riverbasin,WCons,Anteilige Flaechenwasserentnahme,boolean
saga:riverbasin,WCons2,Dynamische Flaechenwassernutzung...,enum
saga:riverbasin,OUTPUT2,Grad,rasterDestination
saga:riverbasin,OUTPUT3,Direc,rasterDestination
saga:riverbasin,OUTPUT4,HGGrad,rasterDestination
saga:riverbasin,OUTPUT5,RivSpeed,rasterDestination
saga:riverbasin,OUTPUT6,Coordinates,rasterDestination
saga:riverbasin,OUTPUT7,BasinShare,rasterDestination
saga:riverbasin,OUTPUT8,statWUse,rasterDestination
saga:riverbasin,OUTPUT9,NumInFlowCells,rasterDestination
saga:riverbasin,pCr,Hauptgerinne-Parameter pHG,number
saga:riverbasin,nCr,Hauptgerinne-Speicherkaskade nHG,number
saga:riverbasin,EnfVmax,Maximal Geschwindigkeit des Hauptgerinnes beruecksichtigen,boolean
saga:rivergridgeneration,OUTPUT,HG Raster,rasterDestination
saga:rivergridgeneration,Owrite,Overwrite RiverGridCells,boolean
saga:runningaverage,INPUT,Input,source
saga:runningaverage,FIELD,Attribute,field
saga:runningaverage,COUNT,Number of Records,number
saga:runningaverage,OUTPUT,Output,vectorDestination
saga:sagawetnessindex,DEM,Elevation,raster
saga:sagawetnessindex,SUCTION,Suction,number
saga:sagawetnessindex,AREA_TYPE,Type of Area,enum
saga:sagawetnessindex,SLOPE_TYPE,Type of Slope,enum
saga:sagawetnessindex,SLOPE_MIN,Suction,number
saga:sagawetnessindex,SLOPE_OFF,Suction,number
saga:sagawetnessindex,SLOPE_WEIGHT,Suction,number
saga:sagawetnessindex,AREA,Catchment area,rasterDestination
saga:sagawetnessindex,SLOPE,Catchment slope,rasterDestination
saga:sagawetnessindex,AREA_MOD,Modified catchment area,rasterDestination
saga:sagawetnessindex,TWI,Topographic Wetness Index,rasterDestination
saga:seededregiongrowing,SEEDS,Seeds,raster
saga:seededregiongrowing,FEATURES,Features,multilayer
saga:seededregiongrowing,SEGMENTS,Segments,rasterDestination
saga:seededregiongrowing,SIMILARITY,Similarity,rasterDestination
saga:seededregiongrowing,TABLE,Seeds,source
saga:seededregiongrowing,NORMALIZE,Normalize,boolean
saga:seededregiongrowing,NEIGHBOUR,Neighbourhood,enum
saga:seededregiongrowing,METHOD,Method,enum
saga:seededregiongrowing,SIG_1,Variance in Feature Space,number
saga:seededregiongrowing,SIG_2,Variance in Position Space,number
saga:seededregiongrowing,THRESHOLD,Similarity Threshold,number
saga:seededregiongrowing,REFRESH,Refresh,boolean
saga:seedgeneration,FEATURES,Features,multilayer
saga:seedgeneration,SEED_TYPE,Seed Type,enum
saga:seedgeneration,METHOD,Method,enum
saga:seedgeneration,NORMALIZE,Normalize Features,boolean
saga:seedgeneration,DW_WEIGHTING,Weighting Function,enum
saga:seedgeneration,DW_IDW_POWER,Inverse Distance Weighting Power,number
saga:seedgeneration,DW_IDW_OFFSET,Inverse Distance Offset,boolean
saga:seedgeneration,DW_BANDWIDTH,Gaussian and Exponential Weighting Bandwidth,number
saga:seedgeneration,SEED_GRID,Seeds Grid,rasterDestination
saga:seedgeneration,VARIANCE,Variance,rasterDestination
saga:seedgeneration,SEED_POINTS,Seeds Points,vectorDestination
saga:separatepointsbydirection,POINTS,Points,source
saga:separatepointsbydirection,DIRECTIONS,Number of Directions,number
saga:separatepointsbydirection,OUTPUT,Point direction,vectorDestination
saga:sharedpolygonedges,POLYGONS,Polygons,source
saga:sharedpolygonedges,ATTRIBUTE,Attribute,field
saga:sharedpolygonedges,EPSILON,Tolerance,number
saga:sharedpolygonedges,VERTICES,Check vertices,boolean
saga:sharedpolygonedges,DOUBLE,Double edges,boolean
saga:sharedpolygonedges,EDGES,Edges,vectorDestination
saga:shrinkandexpand,INPUT,Grid,raster
saga:shrinkandexpand,OPERATION,Operation,enum
saga:shrinkandexpand,CIRCLE,Search Mode,enum
saga:shrinkandexpand,RADIUS,Radius,number
saga:shrinkandexpand,EXPAND,Method,enum
saga:shrinkandexpand,RESULT,Result Grid,rasterDestination
saga:sievingclasses,INPUT,Classes,raster
saga:sievingclasses,OUTPUT,Sieved Classes,rasterDestination
saga:sievingclasses,MODE,Neighbourhood,enum
saga:sievingclasses,THRESHOLD,Minimum Threshold,number
saga:sievingclasses,ALL,Class Selection,enum
saga:sievingclasses,CLASS,Class Identifier,number
saga:simplefilter,INPUT,Grid,raster
saga:simplefilter,MODE,Search Mode,enum
saga:simplefilter,METHOD,Filter,enum
saga:simplefilter,RADIUS,Radius,number
saga:simplefilter,RESULT,Filtered Grid,rasterDestination
saga:simplefilterwithinshapes,INPUT,Grid,raster
saga:simplefilterwithinshapes,RESULT,Filtered Grid,rasterDestination
saga:simplefilterwithinshapes,SHAPES,Boundaries,source
saga:simplefilterwithinshapes,MODE,Search Mode,enum
saga:simplefilterwithinshapes,METHOD,Filter,enum
saga:simplefilterwithinshapes,RADIUS,Radius,number
saga:simplekriging,POINTS,Points,source
saga:simplekriging,FIELD,Attribute,field
saga:simplekriging,TQUALITY,Type of Quality Measure,enum
saga:simplekriging,LOG,Logarithmic Transformation,boolean
saga:simplekriging,BLOCK,Block Kriging,boolean
saga:simplekriging,DBLOCK,Block Size,number
saga:simplekriging,VAR_MAXDIST,Maximum Distance,number
saga:simplekriging,VAR_NCLASSES,Lag Distance Classes,number
saga:simplekriging,VAR_NSKIP,Skip,number
saga:simplekriging,VAR_MODEL,Model,string
saga:simplekriging,TARGET_USER_SIZE,Cellsize,number
saga:simplekriging,TARGET_USER_FITS,Fit,enum
saga:simplekriging,TARGET_TEMPLATE,Target System,raster
saga:simplekriging,PREDICTION,Prediction,rasterDestination
saga:simplekriging,VARIANCE,Quality Measure,rasterDestination
saga:simplekriging,SEARCH_RANGE,Search Range,enum
saga:simplekriging,SEARCH_RADIUS,Maximum Search Distance,number
saga:simplekriging,SEARCH_POINTS_ALL,Number of Points,enum
saga:simplekriging,SEARCH_POINTS_MIN,Minimum,number
saga:simplekriging,SEARCH_POINTS_MAX,Maximum,number
saga:simplekriging,SEARCH_DIRECTION,Direction,enum
saga:simpleregiongrowing,SEEDS,Seeds,raster
saga:simpleregiongrowing,FEATURES,Features,multilayer
saga:simpleregiongrowing,METHOD,Method,enum
saga:simpleregiongrowing,NEIGHBOUR,Neighbourhood,enum
saga:simpleregiongrowing,SIG_1,Variance in Feature Space,number
saga:simpleregiongrowing,SIG_2,Variance in Position Space,number
saga:simpleregiongrowing,THRESHOLD,Threshold - Similarity,number
saga:simpleregiongrowing,SEGMENTS,Segments,rasterDestination
saga:simpleregiongrowing,SIMILARITY,Similarity,rasterDestination
saga:simpleregiongrowing,TABLE,Seeds,vectorDestination
saga:simulation,DEM,DEM,raster
saga:simulation,FUEL,Fuel Model,raster
saga:simulation,WINDSPD,Wind Speed,raster
saga:simulation,WINDDIR,Wind Direction,raster
saga:simulation,M1H,Dead Fuel Moisture 1H,raster
saga:simulation,M10H,Dead Fuel Moisture 10H,raster
saga:simulation,M100H,Dead Fuel Moisture 100H,raster
saga:simulation,MHERB,Herbaceous Fuel Moisture,raster
saga:simulation,MWOOD,Wood Fuel Moisture,raster
saga:simulation,IGNITION,Ignition Points,raster
saga:simulation,TIME,Time,rasterDestination
saga:simulation,FLAME,Flame Length,rasterDestination
saga:simulation,INTENSITY,Intensity,rasterDestination
saga:singlevaluedecompositionopencv,INPUT,Input,raster
saga:singlevaluedecompositionopencv,OUTPUT,Output,rasterDestination
saga:sinkdrainageroutedetection,ELEVATION,Elevation,raster
saga:sinkdrainageroutedetection,THRSHEIGHT,Threshold Height,number
saga:sinkdrainageroutedetection,SINKROUTE,Sink Route,rasterDestination
saga:sinkremoval,DEM,DEM,raster
saga:sinkremoval,SINKROUTE,Sink Route,raster
saga:sinkremoval,METHOD,Method,enum
saga:sinkremoval,THRSHEIGHT,Threshold Height,number
saga:sinkremoval,DEM_PREPROC,Preprocessed DEM,rasterDestination
saga:skyviewfactor,DEM,Elevation,raster
saga:skyviewfactor,RADIUS,Maximum Search Radius,number
saga:skyviewfactor,METHOD,Method,enum
saga:skyviewfactor,DLEVEL,Multi Scale Factor,number
saga:skyviewfactor,NDIRS,Number of Sectors,number
saga:skyviewfactor,VISIBLE,Visible Sky,rasterDestination
saga:skyviewfactor,SVF,Sky View Factor,rasterDestination
saga:skyviewfactor,TERRAIN,Terrain View Factor,rasterDestination
saga:skyviewfactor,DISTANCE,Terrain View Factor,rasterDestination
saga:slopeaspectcurvature,ELEVATION,Elevation,raster
saga:slopeaspectcurvature,METHOD,Method,enum
saga:slopeaspectcurvature,UNIT_SLOPE,Slope Units,enum
saga:slopeaspectcurvature,UNIT_ASPECT,Aspect Units,enum
saga:slopeaspectcurvature,SLOPE,Slope,rasterDestination
saga:slopeaspectcurvature,ASPECT,Aspect,rasterDestination
saga:slopeaspectcurvature,C_GENE,General Curvature,rasterDestination
saga:slopeaspectcurvature,C_PLAN,Plan Curvature,rasterDestination
saga:slopeaspectcurvature,C_PROF,Profile Curvature,rasterDestination
saga:slopeaspectcurvature,C_TANG,Tangential Curvature,rasterDestination
saga:slopeaspectcurvature,C_LONG,Longitudinal Curvature,rasterDestination
saga:slopeaspectcurvature,C_CROS,Cross-Sectional Curvature,rasterDestination
saga:slopeaspectcurvature,C_MINI,Minimal Curvature,rasterDestination
saga:slopeaspectcurvature,C_MAXI,Maximal Curvature,rasterDestination
saga:slopeaspectcurvature,C_TOTA,Total Curvature,rasterDestination
saga:slopeaspectcurvature,C_ROTO,Flow-Line Curvature,rasterDestination
saga:slopelength,DEM,Elevation,raster
saga:slopelength,LENGTH,Slope Length,rasterDestination
saga:slopelimitedflowaccumulation,DEM,Elevation,raster
saga:slopelimitedflowaccumulation,WEIGHT,Weight,raster
saga:slopelimitedflowaccumulation,FLOW,Flow Accumulation,rasterDestination
saga:slopelimitedflowaccumulation,SLOPE_MIN,Slope Minimum,number
saga:slopelimitedflowaccumulation,SLOPE_MAX,Slope Threshold,number
saga:slopelimitedflowaccumulation,B_FLOW,Use Flow Threshold,boolean
saga:smoothingvigra,INPUT,Input,raster
saga:smoothingvigra,OUTPUT,Output,rasterDestination
saga:smoothingvigra,TYPE,Type of smoothing,enum
saga:smoothingvigra,SCALE,Size of smoothing filter,number
saga:smoothingvigra,EDGE,Edge threshold for nonlinear smoothing,number
saga:snappointstogrid,INPUT,Points,source
saga:snappointstogrid,GRID,Grid,raster
saga:snappointstogrid,OUTPUT,Result,vectorDestination
saga:snappointstogrid,MOVES,Moves,vectorDestination
saga:snappointstogrid,SHAPE,Search Shape,enum
saga:snappointstogrid,EXTREME,Extreme,enum
